,LATNUM,LONGNUM
149,10.3225711169,123.9731331504
150,10.3083446058,123.9531981991
151,10.3082147895,123.9373772515
152,10.3543190857,123.9181403076
153,10.3602319524,123.9501103735
154,10.3586416101,123.9506290955
155,10.3758246956,123.924279922
156,10.3287033788,123.9516653709
157,10.3482147364,123.9425195512
158,10.3283802038,123.9322251723
159,10.3342966361,123.9498417444
160,10.2217317674,123.750541968
161,10.0990907433,123.6666190512
162,10.3822601272,123.649343118
163,10.4378475732,123.6759010464
164,10.2447561878,123.7792075658
165,9.1512163705,123.5136594107
166,11.2631004324,124.9560381467
167,11.2309854842,124.9973767229
168,11.198097045,125.0094840299
169,11.2090258704,124.9945642327
170,11.0166619675,124.5831030909
171,6.6956328395,121.9545560845
172,6.7075610136,121.9605197506
173,8.5938872399,123.3404714767
174,7.8320101482,123.4323667068
175,7.8417547167,123.4497329974
176,7.7587356371,123.1437031824
177,6.9633710434,121.9710757222
178,6.9569416451,122.0691179734
179,6.9946232507,122.1785954248
180,7.234836427,122.2454605944
181,6.9355486162,122.0731854775
182,6.9184743114,122.0508018447
183,6.929384404,122.0852031016
184,6.9068318506,122.0950143208
185,7.7684938226,122.5667169939
186,7.655285565,122.9438582149
187,8.1045637224,125.3102005917
188,7.784022341,125.0854104881
189,8.3597827589,124.8002851852
190,7.899728968,125.0797036283
191,8.2478540105,124.2719783494
192,8.240199125,124.241868002
193,8.2568093069,124.2652278272
194,8.1991430049,124.1905725678
195,8.1933730349,124.1843148556
196,8.2141682639,124.2419116504
197,8.2045398434,124.2520765128
198,8.1918057629,124.0223976763
199,7.9051107717,123.8362389077
200,8.1550590773,123.8156740516
201,8.5069717797,124.7593826281
202,8.4613770831,124.6318869524
203,8.4753862689,124.7076676451
204,8.4843311347,124.7687924027
205,8.5023181508,124.6528524164
206,8.4961844583,124.6579979477
207,8.4762381643,124.6025209677
208,8.5016283357,124.6583689872
209,8.5545237083,124.7575757642
210,9.2504639664,124.7089680624
211,7.8464466941,125.7874032841
212,7.1064608364,125.9090449022
213,7.2082503921,125.9170394267
214,7.5098735485,126.0936650726
215,7.4766057041,125.8022868192
216,7.5950833854,125.6459560702
217,7.4499685969,125.7668806535
218,7.4316933942,125.8042936724
219,7.4587006006,125.793899661
220,7.434919354,125.8102911928
221,7.3533087022,125.7086351481
222,7.1011178796,125.6172216237
223,7.1245396025,125.649221973
224,7.198874353,125.4316112915
225,7.2839749138,125.3010001939
226,7.0563409366,125.5836655578
227,7.0687063963,125.6028600618
228,7.0648456008,125.6129765867
229,6.7606857691,125.3690877989
230,6.7598068365,125.3699659709
231,6.9098971865,125.4405592329
232,6.4087179871,125.6049988126
233,6.441015029,125.5575463549
234,6.3988584715,125.6134691784
235,7.2262358737,126.5433445203
236,6.9626901514,126.2004960769
237,6.9481891444,126.2266654617
238,7.7843808674,126.4260255929
239,6.9632779514,126.2066234198
240,7.1898865269,124.2261650384
241,7.2279262183,124.249354183
242,7.2290765646,124.2440980125
243,7.2054682519,124.2479254455
244,6.1185830747,125.2213651312
245,6.1104973842,125.1599864962
246,6.1060340348,125.1611600436
247,6.0522710957,125.1290012112
248,6.0916971682,125.1415363706
249,6.0787226113,125.1415587147
250,6.063106867,125.1480802627
251,6.5250667889,124.651721681
252,6.3346718128,124.9278675077
253,6.5000648474,124.835929242
254,6.6629949986,124.6375566933
255,6.6669696667,124.6697665529
256,6.6126884261,124.5970250592
257,6.4455641393,124.6180968848
258,14.7602837288,121.0451698576
259,14.746750464,121.012613569
260,14.78220025,121.0473053284
261,14.7458682303,121.0292385442
262,14.6869855555,121.0051820653
263,14.6367872839,120.9658301346
264,14.6549663309,120.980950022
265,14.6756036777,120.9601531149
266,14.6769172584,120.9346329485
267,14.6876498717,120.9585561279
268,14.6707568959,120.9501412778
269,14.6629735002,120.9525069568
270,14.6841803909,120.971976637
271,14.6656719523,120.9893139976
272,14.6756355903,120.9674876932
273,14.4549783528,120.9919680039
274,14.464783597,120.9850444185
275,14.461261406,120.9932114587
276,14.4678889324,120.9883244609
277,14.4298370737,121.020910122
278,14.4268498468,121.0296493128
279,14.433827993,121.0122310892
280,14.5519609085,121.0352760975
281,14.4994458336,121.0209839015
282,14.5457567931,121.0216920627
283,14.5724946216,120.9960291525
284,14.571616168,121.0561645709
285,14.5598668734,121.0720737676
286,14.5592636114,121.038263407
287,14.5388853407,121.0679897192
288,14.5745890979,121.0382916933
289,14.566233133,121.0663956602
290,14.5823878247,121.0415740759
291,14.5873702282,121.0388482141
292,14.587094717,121.0419954281
293,14.5861034869,121.0272678582
294,14.5909053263,121.0198825263
295,14.5767622236,121.0378092141
296,14.6320989558,120.9662699252
297,14.6099603032,120.9632052292
298,14.6166420211,120.9845356542
299,14.6039416029,120.9960435238
300,14.59756152,120.9935872471
301,14.5920488071,121.0183188902
302,14.5949442588,121.0121947379
303,14.5909859871,121.0047324703
304,14.665333497,121.101493908
305,14.6408086942,121.1151494341
306,14.6624058457,121.1156792715
307,14.677023422,121.1069582449
308,14.6479729042,121.0906298777
